question,NE,p_can,p_cant,rej_mode,C_agg,hit_gold
Who was the man behind The Chipmunks?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""the man behind the chipmunks is ross bagdasarian sr"", ""the man behind the chipmunks is ross bagdasarian sr who created"", ""the man behind the chipmunks was ross bagdasarian"", ""the man behind the chipmunks was ross bagdasarian sr""]",True
What star sign is Jamie Lee Curtis?,0.0,1.0,0.0,standard,"[""jamie lee curtis is a born on november 22 making her a sagittarius"", ""jamie lee curtis is a capricorn"", ""jamie lee curtis is a gemini"", ""jamie lee curtis is a leo"", ""jamie lee curtis is a libra"", ""jamie lee curtis is a libra born on november 22 1958"", ""jamie lee curtis is a pisces"", ""jamie lee curtis is a sagittarius"", ""jamie lee curtis is a scorpio"", ""jamie lee curtis is a virgo"", ""jamie lee curtis is born on november 22 making her a sagittarius"", ""jamie lee curtis s star sign is aries"", ""jamie lee curtis s star sign is scorpio"", ""jamie lee curtis was born on november 22 1958 making her a sagittarius"", ""the context does not provide information about jamie lee curtis s star sign"", ""the context does not provide jamie lee curtis s star sign""]",True
Which Lloyd Webber musical premiered in the US on 10th December 1993?,0.9709505944517833,0.029049405548216667,0.9709505944517833,add_cant,"[""Can't answer""]",False
Who was the next British Prime Minister after Arthur Balfour?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""david lloyd george was the next british prime minister after arthur balfour"", ""the next british prime minister after arthur balfour was david lloyd george"", ""the next british prime minister after arthur balfour was henry campbell bannerman""]",True
Who had a 70s No 1 hit with Kiss You All Over?,0.9709505944517833,0.029049405548216667,0.9709505944517833,add_cant,"[""Can't answer""]",False
What claimed the life of singer Kathleen Ferrier?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""kathleen ferrier s life was claimed by cancer"", ""singer kathleen ferrier s life was claimed by cancer""]",True
Rita Coolidge sang the title song for which Bond film?,0.0,1.0,0.0,standard,"[""octopussy"", ""on her majesty s secret service"", ""rita coolidge sang all time high for the bond film oct"", ""rita coolidge sang the title song for octopussy"", ""rita coolidge sang the title song for octopussy 198"", ""rita coolidge sang the title song for on her majesty s secret service"", ""rita coolidge sang the title song for the bond film octopussy""]",True
To the nearest million what is the population of Australia?,0.8649735207151964,0.1350264792848036,0.8649735207151964,add_cant,"[""Can't answer"", ""australia s population is approximately 41 million"", ""the population of australia is approximately 25 million"", ""the population of australia rounded to the nearest million is 25 million"", ""to the nearest million the population of australia is 24 million""]",True
What was the last US state to reintroduce alcohol after prohibition?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""mississippi was the last us state to reintroduce alcohol after prohibition"", ""mississippi was the last us state to reintroduce alcohol after prohibition doing"", ""the last us state to reintroduce alcohol after prohibition was mississippi"", ""the last us state to reintroduce alcohol after prohibition was mississippi in 196"", ""the last us state to reintroduce alcohol after prohibition was mississippi in 1966"", ""the last us state to reintroduce alcohol after prohibition was mississippi which legalized it in 1966""]",True
Which actress was voted Miss Greenwich Village in 1942?,0.7219280948844771,0.27807190511552293,0.7219280948844771,add_cant,"[""Can't answer"", ""ava gardner was voted miss greenwich village in 1942"", ""carmen miranda was voted miss greenwich village in 1942"", ""lauren bacall"", ""rebel randall was voted miss greenwich village in 1942"", ""the actress voted miss greenwich village in 1942 is not explicitly named in the provided context"", ""the actress voted miss greenwich village in 1942 was grace kelly"", ""the actress voted miss greenwich village in 1942 was ms corio"", ""thelma potter was voted miss greenwich village in 1942"", ""vivian blaine was voted miss greenwich village in 1942""]",True
