question,nonconformity,topk_sr,sim_p_star,num_searchresults,quantile,threshold,retriever_guarantee
Who was the man behind The Chipmunks?,-1.272271752357483,,1.272271752357483,50,-1.254468,-1.254468,0.900000
What star sign is Jamie Lee Curtis?,-1.591923713684082,,1.591923713684082,50,-1.254468,-1.254468,0.900000
Which Lloyd Webber musical premiered in the US on 10th December 1993?,-1.7687911987304688,,1.7687911987304688,49,-1.254468,-1.254468,0.900000
Who was the next British Prime Minister after Arthur Balfour?,-1.4084926843643188,,1.4084926843643188,47,-1.254468,-1.254468,0.900000
Who had a 70s No 1 hit with Kiss You All Over?,-1.7296603918075562,,1.7296603918075562,49,-1.254468,-1.254468,0.900000
What claimed the life of singer Kathleen Ferrier?,-1.7558813095092773,,1.7558813095092773,49,-1.254468,-1.254468,0.900000
Rita Coolidge sang the title song for which Bond film?,-1.8195981979370117,,1.8195981979370117,44,-1.254468,-1.254468,0.900000
To the nearest million what is the population of Australia?,-1.4797942638397217,,1.4797942638397217,45,-1.254468,-1.254468,0.900000
What was the last US state to reintroduce alcohol after prohibition?,-1.4389187097549438,,1.4389187097549438,50,-1.254468,-1.254468,0.900000
Which actress was voted Miss Greenwich Village in 1942?,-1.5013465881347656,,1.5013465881347656,47,-1.254468,-1.254468,0.900000
What is the Japanese share index called?,-1.0261132717132568,,1.0261132717132568,43,-1.254468,-1.254468,0.900000
What was the name of Michael Jackson's autobiography written in 1988?,-1.5900979042053223,,1.5900979042053223,50,-1.254468,-1.254468,0.900000
In which decade did stereo records first go on sale?,-1.150181531906128,,1.150181531906128,48,-1.254468,-1.254468,0.900000
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,-1.4991958141326904,,1.4991958141326904,50,-1.254468,-1.254468,0.900000
In what year's Olympics were electric timing devices and a public-address system used for the first time?,-1.7634656429290771,,1.7634656429290771,43,-1.254468,-1.254468,0.900000
Why is the site of a boxing match called a ring when it's square?,-1.768775224685669,,1.768775224685669,27,-1.254468,-1.254468,0.900000
"In the very first Boston Marathon, 15 runners competed. How many finished?",-1.56818425655365,,1.56818425655365,46,-1.254468,-1.254468,0.900000
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",-1.6285314559936523,,1.6285314559936523,35,-1.254468,-1.254468,0.900000
Which volcano in Tanzania is the highest mountain in Africa?,-1.6442971229553223,,1.6442971229553223,47,-1.254468,-1.254468,0.900000
The flag of Libya is a plain rectangle of which color?,-2.01904559135437,,2.01904559135437,47,-1.254468,-1.254468,0.900000
Of which African country is Niamey the capital?,-1.678889274597168,,1.678889274597168,46,-1.254468,-1.254468,0.900000
Who was the director of the CIA from 1976-81?,-1.5006048679351807,,1.5006048679351807,45,-1.254468,-1.254468,0.900000
Which musical featured the song The Street Where You Live?,-1.536144495010376,,1.536144495010376,49,-1.254468,-1.254468,0.900000
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",-1.5223718881607056,,1.5223718881607056,49,-1.254468,-1.254468,0.900000
Who had an 80s No 1 hit with Hold On To The Nights?,-1.8104074001312256,,1.8104074001312256,47,-1.254468,-1.254468,0.900000
Who directed the classic 30s western Stagecoach?,-1.5930089950561523,,1.5930089950561523,49,-1.254468,-1.254468,0.900000
Dave Gilmore and Roger Waters were in which rock group?,-1.5208208560943604,,1.5208208560943604,50,-1.254468,-1.254468,0.900000
Which highway was Revisited in a classic 60s album by Bob Dylan?,-1.8091554641723633,,1.8091554641723633,50,-1.254468,-1.254468,0.900000
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,-1.5329934358596802,,1.5329934358596802,42,-1.254468,-1.254468,0.900000
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,-1.5867178440093994,,1.5867178440093994,46,-1.254468,-1.254468,0.900000
If I Were A Rich Man Was a big hit from which stage show?,-1.511189341545105,,1.511189341545105,50,-1.254468,-1.254468,0.900000
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,-1.6826435327529907,,1.6826435327529907,49,-1.254468,-1.254468,0.900000
What is the only novel to top the best-seller lists for two consecutive years?,-1.3559951782226562,,1.3559951782226562,49,-1.254468,-1.254468,0.900000
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",-2.0749309062957764,,2.0749309062957764,37,-1.254468,-1.254468,0.900000
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",-2.157165050506592,,2.157165050506592,27,-1.254468,-1.254468,0.900000
What was Truman Capote's last name before he was adopted by his stepfather?,-1.7692610025405884,,1.7692610025405884,45,-1.254468,-1.254468,0.900000
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,-0.8956636190414429,,0.8956636190414429,6,-1.254468,-1.254468,0.900000
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",-0.737183690071106,,0.737183690071106,1,-1.254468,-1.254468,0.900000
In what state was playwright Tennessee Williams born?,-1.5381827354431152,,1.5381827354431152,50,-1.254468,-1.254468,0.900000
Who was the only Englishman to become Pope?,-1.4430418014526367,,1.4430418014526367,39,-1.254468,-1.254468,0.900000
"In the Bible, who did the sun and moon stand still before?",-1.6020101308822632,,1.6020101308822632,44,-1.254468,-1.254468,0.900000
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,-1.8175946474075317,,1.8175946474075317,48,-1.254468,-1.254468,0.900000
"In the Bible, who saw the handwriting on the wall?",-1.4534075260162354,,1.4534075260162354,46,-1.254468,-1.254468,0.900000
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,-1.6670490503311157,,1.6670490503311157,45,-1.254468,-1.254468,0.900000
What was President Gerald Ford's middle name?,-1.6348766088485718,,1.6348766088485718,45,-1.254468,-1.254468,0.900000
Who recorded the When Harry Met Sally soundtrack?,-1.7227585315704346,,1.7227585315704346,45,-1.254468,-1.254468,0.900000
Art Garfunkel trained for which profession although he didn't qualify?,-1.4914578199386597,,1.4914578199386597,47,-1.254468,-1.254468,0.900000
Who was the last inmate of Spandau jail in Berlin?,-1.6056801080703735,,1.6056801080703735,47,-1.254468,-1.254468,0.900000
What was Eddie Murphy's first movie?,-1.4570921659469604,,1.4570921659469604,47,-1.254468,-1.254468,0.900000
In the 80s who wrote the novel Empire of The Sun?,-1.6994318962097168,,1.6994318962097168,50,-1.254468,-1.254468,0.900000
Kagoshima international airport is in which country?,-1.6186473369598389,,1.6186473369598389,50,-1.254468,-1.254468,0.900000
In which sport could the Pacers take on the Pistons?,-1.4083640575408936,,1.4083640575408936,50,-1.254468,-1.254468,0.900000
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,-2.256258487701416,,2.256258487701416,44,-1.254468,-1.254468,0.900000
Where in Canada is the Lion's Gate bridge?,-1.5658257007598877,,1.5658257007598877,49,-1.254468,-1.254468,0.900000
What was Walter Matthau's first movie?,-1.5568691492080688,,1.5568691492080688,49,-1.254468,-1.254468,0.900000
Otis Barton was a pioneer in exploring where?,-1.793409824371338,,1.793409824371338,45,-1.254468,-1.254468,0.900000
Where in England was actor Nigel Hawthorne born?,-1.9310766458511353,,1.9310766458511353,50,-1.254468,-1.254468,0.900000
What would Kevin Scale have been called if it had adopted the originator's first name?,-0.9617794752120972,,0.9617794752120972,48,-1.254468,-1.254468,0.900000
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",-1.2312371730804443,,1.2312371730804443,41,-1.254468,-1.254468,0.900000
"In Greek mythology, who were Arges, Brontes and Steropes?",-1.9514747858047485,,1.9514747858047485,45,-1.254468,-1.254468,0.900000
"In Greek mythology, what were the names of Oedipus's parents?",-1.6915936470031738,,1.6915936470031738,24,-1.254468,-1.254468,0.900000
Which musician founded the Red Hot Peppers?,-1.2646427154541016,,1.2646427154541016,50,-1.254468,-1.254468,0.900000
Where did the Shinning Path terrorists operate?,-0.9260799884796143,,0.9260799884796143,50,-1.254468,-1.254468,0.900000
How old was Jimi Hendrix when he died?,-1.4630846977233887,,1.4630846977233887,46,-1.254468,-1.254468,0.900000
Which Brit broke the land speed record in 1990 in Thrust 2?,-1.5847182273864746,,1.5847182273864746,45,-1.254468,-1.254468,0.900000
